Nome,Email,Endereco
Ana,ana@email.com,"Avenida B, 456"
Pedro,pedro@email.com,"Rua A, 123"
João,joao@email.com,"Rua E, 1213"
Maria,maria@email.com,"Rua C, 789"
Juliana,juliana@email.com,"Avenida D, 1011"
Rafael,rafael@email.com,"Rua F, 567"
Lucas,lucas@email.com,"Avenida G, 987"
Giovana,giovana@email.com,"Rua H, 345"
Fernando,fernando@email.com,"Avenida I, 654"
Carolina,carolina@email.com,"Rua J, 876"
Bianca,bianca@email.com,"Avenida K, 654"
Vinicius,vinicius@email.com,"Rua L, 321"
Mariana,mariana@email.com,"Avenida M, 789"
Diego,diego@email.com,"Rua N, 987"
